wa_inventory_id,generic_strain_id,wholesale_date,latest_rtl_sale,wholesale_cogs,ttl_retail_sales,units_sold
6033240110002757,18,2014-12-19,2015-06-06,288.00,581.02,14
6033240110002089,18,2014-12-25,2015-05-10,688.30,964.88,35
6033387250000756,18,2014-12-29,2015-01-29,175.00,247.48,25
6033387250000755,18,2014-12-29,2015-01-29,87.50,118.82,24
6033564380000110,18,2014-12-31,2015-05-06,525.00,761.65,70
6033240110002448,18,2015-01-08,2015-03-08,309.27,903.08,50
6033240110003163,18,2015-01-18,2015-06-03,219.37,816.36,9
6033240110003173,18,2015-01-18,2015-05-08,3120.04,9911.69,225
6033240110002744,18,2015-01-18,2015-04-24,97.50,332.42,1
6033240110003174,18,2015-01-18,2015-05-08,891.44,2602.81,64
6033240110002771,18,2015-01-18,2015-04-12,97.50,332.42,1
6033240110003164,18,2015-01-18,2015-05-09,170.63,633.77,7
6032939160001223,18,2015-01-21,2015-04-03,2450.00,7490.00,200
6032939160001231,18,2015-01-21,2015-03-31,5.00,7.50,5
6033240110002750,18,2015-01-22,2015-03-30,28.47,112.00,1
6033240110002531,18,2015-01-22,2015-04-12,693.04,815.20,36
6033240110002739,18,2015-01-22,2015-03-07,28.47,112.00,1
6033240110002760,18,2015-01-22,2015-03-29,250.60,1024.00,16
6033240110002764,18,2015-01-22,2015-04-11,250.60,1004.80,16
6033240110002743,18,2015-01-22,2015-03-19,28.47,112.00,1
6033240110002736,18,2015-01-22,2015-02-27,28.47,112.00,1
6033240110002767,18,2015-01-22,2015-04-05,28.47,112.00,1
6033240110002748,18,2015-01-22,2015-03-11,28.47,84.00,1
6033561370000090,18,2015-01-25,2015-02-13,50.00,108.59,10
6033387250000875,18,2015-02-01,2015-02-14,50.00,86.92,13
6033387250000874,18,2015-02-01,2015-05-10,27.50,110.40,10
6033240110002763,18,2015-02-04,2015-06-19,320.00,899.43,15
6033387250000924,18,2015-02-19,2015-04-14,50.00,156.40,10
6033387250000935,18,2015-03-03,2015-07-11,27.50,104.38,12
6033240110004485,18,2015-03-06,2015-08-25,1050.00,2320.69,100
6033240110004504,18,2015-03-06,2015-05-20,7.00,14.00,7
6032939160001280,18,2015-03-11,2015-05-22,147.00,444.84,12
6032939160001279,18,2015-03-11,2015-06-04,175.00,600.71,26
6032939160001283,18,2015-03-11,2015-04-27,5.00,6.25,5
6032939160001219,18,2015-03-12,2015-06-18,700.00,2991.56,101
6033180390000003,18,2015-03-25,2015-12-02,192.00,446.25,48
6033489470000156,18,2015-04-02,2015-04-16,92.60,385.05,12
6033570130000167,18,2015-04-06,2015-04-27,240.00,935.52,48
6033570130000160,18,2015-04-06,2015-04-23,80.00,535.44,16
6033570130000153,18,2015-04-06,2015-04-28,300.00,1200.60,60
6032939160001244,18,2015-04-09,2015-04-20,210.00,624.75,60
6032939160001239,18,2015-04-09,2015-04-21,420.00,1230.69,60
6032939160001243,18,2015-04-09,2015-04-17,367.50,1054.70,30
6033387250001051,18,2015-04-10,2015-07-08,25.00,89.66,10
6033387250001050,18,2015-04-10,2015-07-03,45.00,136.28,10
6033489470000182,18,2015-04-13,2015-07-02,191.00,578.59,14
6033489470000180,18,2015-04-13,2015-06-30,97.00,425.04,25
6033489470000181,18,2015-04-13,2015-07-02,105.10,347.57,13
6033489470000179,18,2015-04-13,2015-04-17,3.90,29.44,1
6032939160001268,18,2015-04-15,2015-05-06,4.00,6.00,4
6032939160001257,18,2015-04-15,2015-07-13,1400.00,5202.51,199
6032939160001258,18,2015-04-15,2015-06-30,2450.00,8000.00,200
6032939160001254,18,2015-04-15,2015-04-29,98.00,330.04,4
6032939160001256,18,2015-04-15,2015-04-25,59.50,266.00,16
6032939160001255,18,2015-04-15,2015-04-25,98.00,324.50,8
6032939160001287,18,2015-04-20,2015-04-22,3.00,6.85,3
6032939160001286,18,2015-04-20,2015-04-22,5.00,11.42,5
6033240110004022,18,2015-04-22,2015-04-26,12.60,14.06,14
6032939160001294,18,2015-04-23,2015-05-01,420.00,1241.02,60
6032939160001293,18,2015-04-23,2015-05-03,210.00,625.35,60
6032939160001295,18,2015-04-23,2015-04-29,490.00,1431.70,40
6033561370000175,18,2015-04-28,2015-05-01,10.00,74.30,10
