Zip,First city,First county,First Region,Avg Monthly Wholesales in period,Avg Monthly Retail Sales in Period 2,Population,Per Capita Retail Sales,Total Sales,MedianAge,HouseHolder15to24,HouseHolder25to34,HouseHolder35to44,HouseHolder45to54,HouseHolder55to59,HouseHolder60to64,HouseHolder65to74,HouseHolder75to84,Households,HouseHolder85over,Households2Person,Households3Person,Households4Person,Households5Person,Households6Person,Households7PlusPerson,HouseholdsWith60Plus,HouseholdsWith75Plus,HusbandWifeHouseholds,MedianAgeFemale,MedianAgeMale,NonFamilyHouseholds,PopulationAmerindian,PopulationFemale,PopulationMale,PopulationRaceAsian,PopulationRaceBlack,PopulationRaceLatino,PopulationRaceMulti,PopulationRaceOther,PopulationRacePacific,PopulationRaceWhite,SingleFatherHousehold,SingleMotherHousehold,Total Units,Total Wholesale Price,PPs,Retailers
98335,Gig Harbor,Pierce,Olympics,,,24925,,,44.3,259,847,1701,2197,1221,1088,1410,906,9817,200,5690,1884,1402,570,184,87,3883,1217,5982,45.3,43.3,2686,0.005977934,12925,12000,0.025356068,0.00890672,0.048946841,0.030892678,0.001564694,0.003450351,0.874904714,338,811,,,,1
98336,Kennewick,Benton,Southeast Region,,,970,,,48.2,11,39,43,86,47,54,81,52,413,10,265,75,41,20,6,6,199,55,223,48.6,47.8,134,0.009278351,460,510,0.002061856,0.003092784,0.032989691,0.022680412,0,0,0.929896907,19,37,,,,1
98339,Port Hadlock,"",Olympics,$27113,$42200.15,3326,$8.15,$1561406,46.1,50,164,193,303,159,189,248,134,1465,24,945,283,148,51,20,18,645,192,664,47.7,44.3,564,0.022248948,1665,1661,0.015634396,0.010523151,0.033674083,0.04750451,0.001503307,0.00420926,0.864702345,72,165,129736,$1003173,79,2
98346,Kingston,"",Olympics,$36020,$63972.75,9297,$3.87,$639728,43.1,99,375,598,882,452,452,468,290,3646,58,2075,733,483,200,100,55,1360,362,2101,43.8,42.4,1016,0.073249435,4619,4678,0.016672045,0.003764655,0.053242982,0.033344089,0.002258793,0.002151232,0.815316769,179,350,86659,$360198,53,2
98362,Port Angeles,Clallam,Olympics,$158114,$220781.64,22230,$7.11,$7948139,47.5,405,1037,1210,1909,1186,1150,1580,1024,9961,330,6569,1826,939,401,148,74,4492,1656,4603,48.6,46.1,3941,0.022132254,11309,10921,0.015609537,0.005488079,0.031084121,0.030409357,0.00211426,0.001439496,0.891722897,464,953,794063,$5692097,245,6
98363,Port Angeles,Clallam,Olympics,$37326,$58851.93,13343,$2.80,$1883262,43.9,182,686,754,1188,670,589,857,452,5578,110,3473,1077,598,269,91,68,2269,725,2836,45.2,42.8,1882,0.060031477,6628,6715,0.011166904,0.005770816,0.035074571,0.03717305,0.002023533,0.001274076,0.847485573,270,590,244955,$1194437,57,2
98366,Port Orchard,Kitsap,Olympics,$265687,$407478.86,34258,$7.76,$15891676,38.2,651,2127,2281,2717,1339,1262,1615,890,13283,248,7329,2838,1879,751,309,174,4596,1499,6444,39.5,36.9,4461,0.010099831,17132,17126,0.037567867,0.021484033,0.059723276,0.049214782,0.001284372,0.012639384,0.807986456,700,1678,1464483,$10361801,267,8
98367,Port Orchard,Kitsap,Olympics,$22857,$37625.03,27693,$0.83,$978251,41.7,203,1153,1784,2640,1243,1105,1374,662,10155,124,5249,2166,1553,714,303,168,3560,818,6475,42.2,41.2,2340,0.008883111,13627,14066,0.032426967,0.01209692,0.050482071,0.042248944,0.001444408,0.009713646,0.842703932,470,870,117046,$594292,104,1
98368,Port Townsend,Jefferson,Olympics,$94540,$139984.12,14724,$6.42,$5599365,54.1,161,504,716,1274,949,1070,1452,712,7227,190,5138,1272,528,185,58,46,3897,1215,3194,54.3,53.9,3230,0.010459114,7740,6984,0.016028253,0.004754143,0.028253192,0.025604455,0.002377071,0.002512904,0.910010867,222,581,522262,$3781614,180,4
98370,Poulsbo,,,$146280,$211454.95,29528,$4.95,$4863464,43.2,319,1290,1946,2677,1327,1287,1566,894,11716,232,6768,2287,1613,657,244,147,4550,1481,6722,44,42.4,3515,0.017136277,15267,14261,0.032105121,0.007856949,0.059739908,0.039758873,0.001862639,0.00247223,0.839068003,419,1060,437977,$3364429,37,1
98371,Puyallup,Pierce,Greater Tacoma,,,20468,,,41.4,306,1055,1336,1870,851,756,1076,730,8265,192,4722,1763,1046,473,173,87,3058,1121,4162,42.7,40.2,2753,0.013875318,10470,9998,0.028239203,0.014852453,0.069278874,0.034395153,0.000732851,0.003371116,0.835255032,391,959,,,,4
98372,Edgewood,Pierce,Greater Tacoma,$145,$338.69,22475,$0.01,$339,39.4,510,1376,1563,2073,935,719,977,584,8962,132,4979,2030,1184,491,170,106,2737,916,4340,40.4,38.2,3145,0.010945495,11477,10998,0.035328142,0.014994438,0.063314794,0.037419355,0.001156841,0.005784205,0.83105673,471,1006,30,$145,1,1
98373,Puyallup,Pierce,Greater Tacoma,$334604,$503777.70,22246,$15.04,$11586887,33.3,694,1770,1810,1877,680,543,713,448,8609,114,4292,2202,1272,550,187,104,2009,627,4185,34,32.5,2759,0.010204082,11347,10899,0.051559831,0.038074261,0.075519194,0.056279781,0.001573317,0.012451677,0.754337858,507,1158,1222029,$7695890,209,9
98382,Sequim,Clallam,Olympics,$143005,$175421.83,26856,$5.32,$4385546,57.4,260,886,1062,1753,1272,1476,2984,2306,12736,768,9382,1906,859,359,140,88,7890,3338,6676,58.2,56.1,4762,0.013032469,14166,12690,0.015974084,0.003425678,0.040288948,0.025320226,0.001117069,0.001117069,0.899724456,372,926,473367,$3575118,167,2
98383,Silverdale,"",Olympics,$153182,$216475.18,19727,$7.77,$4113028,38.3,637,1294,1214,1648,779,722,867,440,7977,166,4492,1723,1084,451,149,76,2630,924,4245,40.7,35.3,2749,0.00729964,9960,9767,0.10371572,0.029350636,0.060019263,0.054189689,0.000963147,0.007147564,0.737314341,265,718,439839,$2910449,143,3
98387,Spanaway,"",Greater Tacoma,$192426,$318196.13,43173,$4.46,$6682119,33.2,500,2633,3266,3551,1296,1161,1342,714,14533,148,6168,3443,2512,1385,609,414,3883,1010,7940,33.8,32.6,3447,0.009427188,21741,21432,0.048711,0.080582772,0.09274315,0.071248234,0.001250782,0.028304727,0.667732147,1032,2114,645934,$4040943,173,2
98391,Bonney Lake,Pierce,Greater Tacoma,,,44309,,,36.4,311,2272,3632,4441,1626,1182,1208,608,15325,136,6486,3796,3098,1250,454,240,3555,855,9587,36.5,36.2,3319,0.008846961,21810,22499,0.021079239,0.009411181,0.055812589,0.034597937,0.001444402,0.002505134,0.866302557,1018,1401,,,,2
