date,daily sales,5wk MA,5wk MA NORMD
2017-06-29,26112.0,399.4,0.272800897692
2017-06-30,35136.0,464.8,0.317470849393
2017-07-01,33591.0,715.285714286,0.488559301361
2017-07-02,24368.0,812.457142857,0.554929989755
2017-07-03,33314.0,1175.68571429,0.803024832902
2017-07-04,22238.0,1208.11428571,0.825174415768
2017-07-05,23224.0,1225.77142857,0.837234717276
2017-07-06,24239.0,1097.02857143,0.749299897546
2017-07-07,29794.0,944.6,0.645187100551
2017-07-08,26900.0,899.428571429,0.614333804947
2017-07-09,19987.0,864.828571429,0.590701078207
2017-07-10,25539.0,914.942857143,0.624930477631
2017-07-11,21707.0,896.942857143,0.612635995512
2017-07-12,21889.0,874.657142857,0.597414255745
2017-07-13,23724.0,778.942857143,0.532038834951
2017-07-14,32891.0,800.942857143,0.547065424208
2017-07-15,27325.0,798.885714286,0.545660340538
2017-07-16,22722.0,775.6,0.529755573986
2017-07-17,22824.0,743.371428571,0.507742596478
2017-07-18,23949.0,724.685714286,0.494979753135
2017-07-19,27124.0,739.285714286,0.504951944187
2017-07-20,27167.0,701.428571429,0.479094501634
2017-07-21,37899.0,823.114285714,0.562209103771
2017-07-22,30402.0,855.771428571,0.584514807045
2017-07-23,23117.0,878.257142857,0.599873152169
2017-07-24,24798.0,916.542857143,0.626023320486
2017-07-25,23927.0,933.428571429,0.637556715617
2017-07-26,25419.0,908.514285714,0.62053959116
2017-07-27,23448.0,798.0,0.545055373957
2017-07-28,32438.0,785.0,0.53617602576
2017-07-29,26751.0,691.942857143,0.472615504708
2017-07-30,22020.0,701.428571429,0.479094501634
2017-07-31,22995.0,668.714285714,0.456749768259
